SL NO,GENDER,HIN,ENG,MATH,GEO,HIST,SCIENCE,BIO,HOBBY,INTEREST,SPORTS,ACHIEVEMENTS,LANGUAGE,AVG,STREAM
205,Female,100,85,58,80,93,45,51,Cooking,Music,Basketball,Math Olympiad winner,Hindi,73.14285714285714,Arts
307,Female,94,86,59,92,76,52,42,Gardening,History,Football,Music competition winner,Hindi,71.57142857142857,Arts
403,Female,97,64,58,86,86,54,54,Cooking,Photography,Tennis,Dance competition winner,Hindi,71.28571428571429,Arts
1618,Female,83,91,49,86,95,51,43,Gardening,Cooking,Swimming,Math Olympiad winner,English,71.14285714285714,Arts
1745,Female,83,96,52,95,79,43,46,Sports,Music,Football,Chess competition winner,English,70.57142857142857,Arts
1788,Female,82,98,55,96,56,52,53,Drawing,Science,Athletics,Debate competition winner,Hindi,70.28571428571429,Arts
1996,Male,64,94,41,94,95,52,59,Travelling,Art,Cricket,Art competition winner,English,71.28571428571429,Arts
2565,Female,99,92,43,84,95,51,43,Gardening,History,Tennis,Art competition winner,English,72.42857142857143,Arts
2805,Male,94,96,56,76,62,57,56,Gardening,Art,Table Tennis,Athletics competition winner,English,71.0,Arts
2890,Male,87,99,55,89,77,53,54,Drawing,Art,Basketball,Debate competition winner,English,73.42857142857143,Arts
3037,Female,81,99,59,96,83,50,40,Music,Cooking,Cricket,Art competition winner,English,72.57142857142857,Arts
3044,Female,96,96,42,90,80,44,53,Cooking,History,Table Tennis,Science fair winner,Hindi,71.57142857142857,Arts
3095,Male,76,84,50,98,91,40,51,Photography,Dance,Cricket,Chess competition winner,Hindi,70.0,Arts
3103,Male,89,79,55,75,96,47,54,Photography,Science,Swimming,Art competition winner,Hindi,70.71428571428571,Arts
3190,Male,76,95,54,84,84,47,54,Reading,Cooking,Cricket,Chess competition winner,English,70.57142857142857,Arts
3545,Male,94,96,56,81,79,40,44,Travelling,Science,Table Tennis,Music competition winner,Hindi,70.0,Arts
3979,Male,97,87,50,98,80,52,48,Photography,Art,Tennis,Math Olympiad winner,Hindi,73.14285714285714,Arts
5148,Female,87,97,50,74,99,55,59,Travelling,Cooking,Tennis,Chess competition winner,Hindi,74.42857142857143,Arts
5393,Male,98,75,50,94,83,56,51,Reading,Programming,Volleyball,Chess competition winner,English,72.42857142857143,Arts
5515,Female,62,99,58,88,93,48,56,Travelling,Science,Volleyball,Chess competition winner,Hindi,72.0,Arts
6182,Female,54,93,57,99,75,58,56,Gardening,Art,Table Tennis,Music competition winner,Hindi,70.28571428571429,Arts
6811,Male,94,86,46,90,87,56,41,Gardening,Cooking,Football,Chess competition winner,English,71.42857142857143,Arts
7093,Female,97,99,43,99,91,51,56,Photography,Music,Tennis,Athletics competition winner,English,76.57142857142857,Arts
7095,Female,98,97,57,81,75,58,48,Gardening,Art,Cricket,Dance competition winner,Hindi,73.42857142857143,Arts
7532,Female,78,92,44,95,89,55,58,Reading,Photography,Basketball,Math Olympiad winner,English,73.0,Arts
