Acedamic percentage,Hours Studying per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability,Extra-courses did,certifications,talenttests taken,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,Gentle or Tuff behaviour,Salary/work,hard/smart worker,Introvert,Suggested Job Role
69,9,4,0,4,8,yes,yes,Certified Nursing Assistant (CNA),no,RemoteWork,excellent,excellent,Medical Ethics and Professionalism,Public Health,higherstudies,no,no,Prayer books,salary,stubborn,salary,hard worker,no,Doctor
78,12,7,1,2,3,no,yes,AutoCAD Certification,no,Fieldwork,poor,medium,Physics and Mechanics,Artificial Intelligence and Machine Learning,job,yes,yes,Childrens,salary,gentle,salary,hard worker,yes,Engineer
71,11,1,4,1,3,no,yes,First Aid and CPR Certification,no,OfficeBased,poor,excellent,Medical Ethics and Professionalism,Medical Research,higherstudies,yes,yes,Travel,Work,stubborn,work,hard worker,yes,Doctor
76,7,1,1,2,5,yes,no,First Aid and CPR Certification,yes,Fieldwork,medium,excellent,Medical Ethics and Professionalism,Public Health,higherstudies,no,no,Romance,Work,gentle,work,smart worker,yes,Doctor
92,4,5,4,6,3,no,no,Sports First Aid Certification,no,RemoteWork,poor,excellent,Sports Management and Administration,Sports Marketing and Sponsorship,higherstudies,no,yes,Cookbooks,salary,stubborn,work,hard worker,yes,Sports person
88,11,5,3,8,1,yes,no,Certificate in Laboratory Techniques,no,OfficeBased,poor,medium,The Structure of Scientific Revolutions,Research and Development,job,yes,yes,Self help,salary,stubborn,work,smart worker,no,Scientist
93,6,3,2,3,3,no,yes,Diploma in Accounting,no,RemoteWork,excellent,poor,Forensic Accounting,Financial Planning and Analysis,job,no,no,Drama,Work,gentle,salary,hard worker,yes,Accountant
84,12,2,1,6,6,no,no,Certificate in Media Production,no,Fieldwork,poor,excellent,Media Studies and Communication,Film and Television Production,higherstudies,no,no,Romance,salary,stubborn,salary,smart worker,no,Entertainment industry
73,10,5,2,4,8,yes,no,Investopedia: Stock Market Investing Course,yes,OfficeBased,poor,poor,Financial Statement Analysis,Financial Analysis,higherstudies,no,no,Math,Work,gentle,work,hard worker,yes,Stock Investor
62,10,9,0,5,4,no,yes,Unity Certified User,yes,Fieldwork,excellent,poor,Game Programming Patterns,Game Programming,job,no,no,Religion-Spirituality,Work,gentle,salary,hard worker,no,Game Developer
73,8,6,2,3,9,no,no,Certificate in Legal Studies,no,OfficeBased,medium,poor,Constitutional Law,Corporate Law,higherstudies,no,yes,Cookbooks,Work,stubborn,salary,hard worker,yes,Lawyer
63,8,3,6,9,7,yes,no,Certificate in Banking and Finance,yes,Fieldwork,medium,excellent,Corporate Finance,Investment Banking,higherstudies,yes,no,Anthology,Work,stubborn,work,smart worker,no,Banker
63,8,2,2,8,6,no,yes,Unity Certified User,yes,RemoteWork,medium,poor,Unity in Action,Game Programming,higherstudies,yes,no,Trilogy,salary,stubborn,work,smart worker,no,Game Developer
68,12,5,3,6,5,no,yes,Certificate in Legal Studies,no,OfficeBased,poor,poor,Legal Research and Writing,Corporate Law,higherstudies,no,yes,Autobiographies,salary,stubborn,work,smart worker,yes,Lawyer
90,9,6,2,3,8,no,yes,Diploma in Accounting,yes,Fieldwork,poor,poor,Forensic Accounting,International Taxation and Compliance,job,yes,no,Math,salary,stubborn,work,hard worker,no,Accountant
94,4,7,6,5,8,yes,yes,Certified Fitness Trainer (CFT),yes,RemoteWork,medium,excellent,Sports Management and Administration,Sports Marketing and Sponsorship,higherstudies,no,no,Childrens,salary,stubborn,salary,hard worker,no,Sports person
60,11,7,5,5,4,no,yes,Diploma in Pharmaceutical Sciences,no,OfficeBased,medium,medium,Pharmaceutical Chemistry,Clinical Pharmacy,job,yes,yes,Mystery,salary,gentle,work,hard worker,yes,Pharmacy
92,4,9,6,3,4,yes,no,Diploma in Accounting,no,RemoteWork,medium,excellent,Financial Analytics and Data Visualization,Financial Planning and Analysis,job,no,yes,Math,Work,stubborn,salary,smart worker,no,Accountant
82,12,8,0,7,1,no,no,Coursera: Foundations of Business Strategy,no,OfficeBased,medium,medium,Master the Art of Business,Entrepreneurship and Startup Management,higherstudies,yes,no,Diaries,Work,stubborn,work,hard worker,no,MBA
90,12,6,0,2,8,yes,no,Certified Fitness Trainer (CFT),yes,Fieldwork,excellent,excellent,Sports Management and Administration,Sports Marketing and Sponsorship,job,yes,no,Autobiographies,Work,stubborn,work,hard worker,no,Sports person
67,4,5,0,2,5,yes,yes,Diploma in Pharmaceutical Sciences,yes,OfficeBased,medium,poor,Pharmacology,Clinical Pharmacy,higherstudies,no,no,Journals,Work,stubborn,work,hard worker,no,Pharmacy
65,5,8,3,2,8,yes,yes,Pharmacy Technician Certification (CPhT),no,OfficeBased,excellent,poor,Pharmacology,Clinical Pharmacy,higherstudies,yes,no,History,Work,stubborn,salary,hard worker,yes,Pharmacy
84,4,9,6,4,5,no,no,Certified SolidWorks Associate (CSWA),yes,Fieldwork,medium,excellent,Mathematics and Applied Mathematics,Artificial Intelligence and Machine Learning,job,no,yes,Art,salary,gentle,work,hard worker,yes,Engineer
74,9,9,5,7,6,yes,yes,Coursera: Introduction to Law,yes,RemoteWork,excellent,poor,Constitutional Law,Corporate Law,job,no,no,Childrens,Work,gentle,work,smart worker,no,Lawyer
92,4,7,5,5,1,yes,no,Certified Fitness Trainer (CFT),yes,RemoteWork,medium,poor,Sports Management and Administration,Sports Medicine and Athletic Training,higherstudies,no,yes,Childrens,salary,stubborn,work,smart worker,yes,Sports person
75,12,5,0,4,7,yes,no,Certificate in Financial Markets,yes,OfficeBased,medium,excellent,The Intelligent Investor,Financial Analysis,higherstudies,yes,yes,History,Work,stubborn,salary,hard worker,yes,Stock Investor
90,4,8,5,1,8,yes,no,Coursera: Introduction to Research Methods,no,Fieldwork,excellent,medium,Lab Girl,Research and Development,higherstudies,no,yes,Self help,Work,stubborn,salary,hard worker,no,Scientist
71,12,9,1,3,5,yes,yes,Certificate in Legal Studies,no,RemoteWork,poor,excellent,Legal Research and Writing,Corporate Law,job,no,yes,Dictionaries,salary,stubborn,work,smart worker,no,Lawyer
83,11,1,0,1,8,no,yes,AutoCAD Certification,no,Fieldwork,excellent,medium,Mathematics and Applied Mathematics,Artificial Intelligence and Machine Learning,higherstudies,yes,no,Art,Work,gentle,work,hard worker,no,Engineer
83,4,3,1,2,6,no,no,Coursera: Introduction to Digital Marketing,yes,RemoteWork,excellent,poor,Media Studies and Communication,Music Industry Management,higherstudies,no,yes,Journals,salary,gentle,work,smart worker,yes,Entertainment industry
89,4,2,3,9,8,yes,yes,Certificate in Laboratory Techniques,yes,OfficeBased,poor,medium,Lab Girl,Research and Development,higherstudies,no,yes,Self help,salary,gentle,salary,hard worker,yes,Scientist
74,11,5,6,3,1,yes,no,Coursera: Introduction to Law,no,RemoteWork,excellent,poor,Legal Research and Writing,Corporate Law,job,no,yes,Childrens,Work,stubborn,work,smart worker,no,Lawyer
80,7,7,4,7,5,yes,no,Coursera: Introduction to Digital Marketing,no,OfficeBased,excellent,excellent,Entertainment Business and Management,Film and Television Production,job,yes,no,Horror,Work,stubborn,work,hard worker,no,Entertainment industry
